12 12
3 2
7 7
6 5 N
7 12 N
10 7 L
11 9 L
5 4 L
7 5 L
10 5 L
5 10 N
2 5 L
4 2 N
7 1 N
3 6 L
11 9 L
5 1 N
12 2 L
6 2 L
2 10 L
8 12 N
5 7 L
2 10 N
1 7 N
6 5 L
9 11 L
7 10 N
3 9 N
1 10 N
6 11 L
7 2 L
1 10 N
1 5 N
11 9 L
8 12 L
5 1 L
1 6 L
4 9 N
3 3 L
11 10 N
8 6 N
7 6 L
2 4 N
7 11 L
4 6 N
11 3 N
11 4 L
8 9 N
10 7 L
10 7 N
6 10 L
2 11 L
4 10 N
9 2 L
11 1 N
3 10 L
1 10 N
8 11 L
10 7 L
2 8 L
1 5 L
6 4 N
9 8 N
11 1 L
1 3 L
7 9 N
9 5 N
10 5 N
1 8 N
2 3 L
4 12 N
11 4 N
12 7 N
11 7 N
7 2 L
12 1 L
12 12 N
1 1 N
7 8 N
12 2 N
8 8 L
6 6 L
5 10 L
9 5 N
9 3 N
4 3 L
7 9 N
2 11 N
10 11 N
6 10 L
9 4 L
12 10 N
3 2 N
8 3 L
10 4 L
2 9 N
7 7 N
12 9 N
9 1 N
3 4 N
9 3 N
12 4 L
1 1 L
3 6 L
8 12 L
11 11 L
10 9 N
10 5 L
12 12 N
8 3 L
6 11 L
12 11 L
4 10 L
10 1 N
11 4 L
4 1 L
7 8 N
7 12 L
3 4 L
6 3 N
6 4 N
11 5 N
12 9 N
